CODE_LOGIN;LOGIN;NOM_PRENOM;PROFIL;DATE_CREATION;ETAT_USER;DATE_DESACTIVATION;DATE_DERNIERE_CONNECTION_1;SITE_AGENCE
10000;user00000000;Jean Dupont;PROFIL_A;02/01/2020;DESACTIVE;03/24/2022 00:00:00;05/08/2024;Agence Alpha
10001;user00000001;Marie Martin;PROFIL_B;11/24/2015;ACTIF;;02/19/2024;Agence Beta
10002;user00000002;Paul Bernard;PROFIL_C;01/01/2018;ACTIF;;04/08/2022;Agence Gamma
10003;user00000003;Sophie Thomas;PROFIL_D;10/01/2019;DESACTIVE;12/18/2024 00:00:00;04/23/2024;Agence Delta
10004;user00000004;Lucas Petit;PROFIL_A;04/15/2018;ACTIF;;05/26/2024;Siege
10005;user00000005;Emma Leroy;PROFIL_B;01/25/2021;ACTIF;;12/14/2022;Agence Alpha
10006;user00000006;Noah Moreau;PROFIL_C;05/05/2017;DESACTIVE;07/04/2022 00:00:00;06/04/2022;Agence Beta
10007;user00000007;Chloé Laurent;PROFIL_D;06/20/2017;ACTIF;;01/24/2023;Agence Gamma
10008;user00000008;Liam Simon;PROFIL_A;09/04/2018;ACTIF;;02/18/2023;Agence Delta
10009;user00000009;Jade Michel;PROFIL_B;11/20/2017;DESACTIVE;02/02/2024 00:00:00;10/07/2023;Siege
10010;user00000010;Jean Dupont;PROFIL_C;04/25/2020;ACTIF;;02/28/2023;Agence Alpha
10011;user00000011;Marie Martin;PROFIL_D;02/13/2016;ACTIF;;08/21/2023;Agence Beta
10012;user00000012;Paul Bernard;PROFIL_A;06/06/2021;DESACTIVE;05/23/2024 00:00:00;06/07/2023;Agence Gamma
10013;user00000013;Sophie Thomas;PROFIL_B;11/03/2020;ACTIF;;11/06/2024;Agence Delta
10014;user00000014;Lucas Petit;PROFIL_C;12/08/2019;ACTIF;;08/13/2022;Siege
10015;user00000015;Emma Leroy;PROFIL_D;11/23/2017;DESACTIVE;01/08/2023 00:00:00;04/22/2024;Agence Alpha
10016;user00000016;Noah Moreau;PROFIL_A;01/26/2021;ACTIF;;07/09/2023;Agence Beta
10017;user00000017;Chloé Laurent;PROFIL_B;04/19/2015;ACTIF;;06/07/2024;Agence Gamma
10018;user00000018;Liam Simon;PROFIL_C;08/13/2020;DESACTIVE;03/08/2023 00:00:00;08/05/2024;Agence Delta
10019;user00000019;Jade Michel;PROFIL_D;09/18/2020;ACTIF;;12/19/2023;Siege
10020;user00000020;Jean Dupont;PROFIL_A;10/13/2018;ACTIF;;04/05/2023;Agence Alpha
10021;user00000021;Marie Martin;PROFIL_B;08/03/2019;DESACTIVE;03/26/2024 00:00:00;02/05/2022;Agence Beta
